ts,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1545408278.538010,123.0,81.2.254.224,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545418245.458453,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545442196.459177,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545404309.458962,123.0,147.231.100.5,123.0,udp,-,0.010235,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545407004.457187,123.0,147.231.100.5,123.0,udp,-,0.001496,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545423036.455492,123.0,147.231.100.5,123.0,udp,-,0.001498,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545421337.456475,123.0,147.231.100.5,123.0,udp,-,0.030731,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545421792.457153,123.0,147.231.100.5,123.0,udp,-,0.001497,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545430099.453897,123.0,147.231.100.5,123.0,udp,-,0.198125,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545405584.459616,123.0,147.231.100.5,123.0,udp,-,0.002498,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545425980.457748,123.0,147.231.100.5,123.0,udp,-,0.036715,48,48,SF,Dd,1.0,76.0,1.0,76.0,Benign
1545423356.454901,123.0,82.113.53.40,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545447352.529395,123.0,81.2.248.189,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545483304.454896,123.0,89.221.210.188,123.0,udp,-,0,0,0,S0,D,1.0,76.0,0.0,0.0,Benign
1545410738.466547,34413.0,192.168.1.1,53.0,udp,dns,5.004151,78,0,S0,D,2.0,134.0,0.0,0.0,Benign
